CAS,cluster
350-30-1,0
100-01-6,0
100-00-5,0
100-14-1,0
100-25-4,0
5522-43-0,0
99-99-0,0
1836-75-5,0
1836-77-7,0
3209-22-1,0
121-86-8,0
98-95-3,0
117-18-0,0
97-00-7,0
99-30-9,0
82-68-8,0
99-35-4,0
88-72-2,0
88-73-3,0
83-42-1,0
7166-19-0,0
89-59-8,0
89-60-1,0
89-61-2,0
89-63-4,0
89-64-5,0
99-54-7,0
99-65-0,0
892-21-7,0
121-14-2,0
528-29-0,0
25321-14-6,0
618-87-1,0
118-96-7,0
88-74-4,0
606-20-2,0
100-02-7,0
100-17-4,0
554-84-7,0
555-03-3,0
91-23-6,0
96-96-8,0
534-52-1,0
700-38-9,0
88-30-2,0
119-33-5,0
119-34-6,0
88-75-5,0
51-28-5,0
88-89-1,0
122-14-5,0
298-00-0,0
42576-02-3,0
110-16-7,1
100-21-0,1
81-14-1,0
81-15-2,0
602-01-7,0
102-81-8,2
100-37-8,2
102-71-6,2
100-40-3,3
110-82-7,3
110-83-8,3
100-42-5,4
1321-74-0,4
25013-15-4,4
91-14-5,4
100-43-6,5
100-69-6,5
108-99-6,5
110-86-1,5
104-55-2,6
100-52-7,6
100-54-9,5
108-44-1,7
100-61-8,7
62-53-3,7
95-53-4,7
99-88-7,7
620-93-9,7
108-69-0,7
106-49-0,7
1420-06-0,8
5625-90-1,8
100-74-3,8
100-97-0,9
4080-31-3,9
2702-72-9,10
53404-22-1,10
1929-86-8,10
3653-48-3,10
19463-48-0,10
54-21-7,10
6062-26-6,10
15165-67-0,10
3766-27-6,10
10007-85-9,10
120-36-5,10
5746-17-8,10
1918-00-9,10
7790-69-4,11
7761-88-8,11
10045-94-0,11
7697-37-2,11
10099-74-8,11
13548-38-4,11
6484-52-2,11
7779-88-6,11
7631-99-4,11
3251-23-8,11
10102-06-4,11
10022-68-1,11
10102-45-1,11
13770-61-1,11
10031-43-3,11
7758-94-3,12
7791-20-0,12
10476-85-4,12
10025-73-7,12
79-57-2,13
2058-46-0,13
60-54-8,13
64-72-2,13
10025-91-9,13
57-62-5,13
10325-94-7,11
14797-55-8,11
7790-93-4,14
7790-98-9,14
7778-44-1,14
7601-89-0,14
7601-90-3,14
7778-74-7,14
10034-81-8,14
7758-99-8,15
55072-57-6,15
7772-98-7,15
7775-27-1,15
7778-18-9,15
1333-22-8,15
7778-80-5,15
7631-90-5,15
2795-39-3,15
7782-63-0,15
37222-66-5,15
15244-36-7,15
7784-25-0,15
7785-87-7,15
7786-81-4,15
10043-01-3,15
13510-49-1,15
7446-18-6,15
7446-20-0,15
29457-72-5,15
7720-78-7,15
7487-88-9,15
7733-02-0,15
10101-53-8,15
7757-82-6,15
7757-83-7,15
10124-36-4,15
10124-43-3,15
7758-98-7,15
7778-39-4,14
10043-35-3,14
7783-00-8,14
7738-94-5,14
7783-90-6,16
7646-79-9,16
7646-85-7,16
7647-14-5,16
1344-67-8,16
7790-86-5,16
10043-52-4,16
7446-70-0,16
7705-08-0,16
7447-39-4,16
7447-40-7,16
7447-41-8,16
7718-54-9,16
7487-94-7,16
10108-64-2,16
51312-24-4,16
7758-89-6,16
7758-95-4,16
10138-52-0,16
10043-67-1,15
7758-19-2,14
7778-54-3,14
10049-04-4,14
105512-06-9,17
94051-08-8,17
100646-51-3,17
71283-80-2,17
99607-70-2,17
66441-23-4,17
122-34-9,18
139-40-2,18
8071-43-0,18
5915-41-3,18
21725-46-2,18
1007-28-9,18
1912-24-9,18
79277-27-3,19
208465-21-8,19
181274-17-9,19
74222-97-2,19
74223-64-6,19
90982-32-4,19
86209-51-0,19
219714-96-2,19
141776-32-1,19
104040-78-0,19
122548-33-8,19
122836-35-5,19
122931-48-0,19
100784-20-1,19
64902-72-3,19
97780-06-8,19
144550-36-7,19
111991-09-4,19
94125-34-5,19
145701-21-9,19
147150-35-4,19
101200-48-0,19
173159-57-4,19
25155-23-1,20
26967-76-0,20
34364-42-6,20
115-86-6,20
1330-78-5,20
101-02-0,20
101-05-3,18
53112-28-0,18
99-76-3,21
2460-49-3,10
51338-27-3,10
2539-17-5,10
93-65-2,10
93-76-5,10
101-10-0,10
94-74-6,10
94-75-7,10
16484-77-8,10
882-09-7,10
95-51-2,7
95-76-1,7
554-00-7,7
91-94-1,7
95-81-8,7
95-82-9,7
101-77-9,7
101-14-4,7
527-20-8,7
782-74-1,7
634-83-3,7
634-93-5,7
636-30-6,7
20856-57-9,22
101-20-2,22
68157-60-8,22
35367-38-5,22
122-42-9,23
101-21-3,23
34123-59-6,24
2164-17-2,24
632-22-4,24
150-68-5,24
15545-48-9,24
330-54-1,24
101-42-8,24
101-55-3,10
591-20-8,10
101-84-8,21
32536-52-0,10
106-41-2,10
1163-19-5,10
2243-62-1,7
479-27-6,7
122-39-4,7
106-50-3,7
123-30-8,25
101-80-4,25
2479-46-1,25
104-94-9,25
108-91-8,26
101-83-7,26
92-69-3,21
90-15-3,21
135-19-3,21
101-96-2,27
793-24-8,27
7664-93-9,15
13472-30-5,14
13718-26-8,14
144-21-8,14
7784-46-5,14
7631-95-0,14
2163-80-6,14
13410-01-0,14
1344-00-9,14
10102-18-8,14
7789-00-6,14
7699-45-8,16
7783-96-2,16
10361-37-2,16
7786-30-3,16
7783-20-2,15
1014-69-3,18
1014-70-6,18
28159-98-0,18
4147-51-7,18
886-50-0,18
21689-84-9,18
834-12-8,18
7287-19-6,18
50-23-7,28
50-28-2,28
10161-33-8,28
58-18-4,28
58-22-0,28
564-35-2,28
965-93-5,28
